biz_season,fixedinvestment_used
Mar-03,36.23
Jun-03,34.06
Sep-03,33.12
Dec-03,30.32
Mar-04,50.02
Jun-04,39.68
Sep-04,37.48
Dec-04,33.89
Mar-05,25.89
Jun-05,25.57
Sep-05,25.74
Dec-05,25.88
Mar-06,27.1
Jun-06,27.92
Sep-06,26.58
Dec-06,24.16
Mar-07,21.91
Jun-07,22.38
Sep-07,22.36
Dec-07,21.68
Mar-08,15.5
Jun-08,14.67
Sep-08,15.05
Dec-08,16.52
Mar-09,29.54
Jun-09,35.38
Sep-09,36.66
Dec-09,35.52
Mar-10,24.15
Jun-10,22.51
Sep-10,21.51
Dec-10,20.58
Mar-11,24.83
Jun-11,23.06
Sep-11,20.8
Dec-11,20.24
Mar-12,18.61
Jun-12,18.57
Sep-12,19.26
Dec-12,19.6
Mar-13,20.7
Jun-13,20.1
Sep-13,20.2
Dec-13,19.2
Mar-14,16.3
Jun-14,16.3
Sep-14,15.3
Dec-14,15.1
Mar-15,14.5
Jun-15,12.5
Sep-15,11.93
Dec-15,12.02
Mar-16,13.75
Jun-16,10.95
Sep-16,9.5
Dec-16,8.75
Mar-17,4.5
Jun-17,3.82
Sep-17,2.19
Dec-17,1.32
Mar-18,1.19
Jun-18,0.28
Sep-18,-0.19
Dec-18,0.47
Mar-19,2.61
Jun-19,2.22
Sep-19,2.33
Dec-19,2.73
